Investor Name;Investor Name URL;Number of Investments;Number of Exited Companies;Location;Investor Type;Description;Website;Twitter;Facebook;LinkedIn;Number of Portfolio Companies;Number of Lead Investments;Program Duration;Next Application Deadline;Program Type
#Angels;https://www.crunchbase.com/organization/-angels;8;;San Francisco, California, United States;Angel Group;An investment group, leveraging experience to help start-ups as angel investors.;http://helloangels.co/;https://twitter.com/HelloAngels;;;8;;;;
(mt) Ventures;https://www.crunchbase.com/organization/mt-ventures;;;Culver City, California, United States;Micro VC;(mt) Media Temple Ventures is the investment arm of (mt) Media Temple. In 2007, Media Temple began making investments and acquisitions in;http://www.mt-ventures.com/about.html;http://twitter.com/mediatemple;http://www.facebook.com/mediatemple;;;;;;
137 Ventures;https://www.crunchbase.com/organization/137-ventures;14;3;San Francisco, California, United States;Private Equity Firm;137 Ventures is a growth stage venture fund with an innovative secondary investment structure.;http://137ventures.com;;http://www.facebook.com/137ventures;;13;1;;;
1517 Fund;https://www.crunchbase.com/organization/1517-fund;14;;San Francisco, California, United States;Angel Group;1517 supports teams with pre-seed and seed funding for technology startups.;http://www.1517fund.com/;https://twitter.com/1517fund;;;12;;;;
19 Vine Ventures;https://www.crunchbase.com/organization/19-vine-ventures;;;San Francisco, California, United States;Micro VC;19 Vine Ventures is a venture capital firm focusing on aviation startups.;;;;;;;;;
1955 Capital;https://www.crunchbase.com/organization/1955-capital;1;;San Francisco, California, United States;Venture Capital;1955 Capital will invest in advanced technologies from the Americas and Europe to solve pressing problems in developing countries.;http://www.1955.capital/;https://twitter.com/1955capital;;https://www.linkedin.com/company/1955-capital;1;1;;;
1B USD WORLDWIDE VENTURE CAPITAL;https://www.crunchbase.com/organization/1b-usd-worldwide-venture-capital;;;San Francisco, California, United States;Private Equity Firm;1B USD Worldwide Venture Capital is a fund raising company investing in innovative life science companies for patient benefit.;http://whomentors.com/project;http://twitter.com/1BUSDWORLDWIDE;;;;;;;
1in10 Ventures;https://www.crunchbase.com/organization/1in10-ventures;1;;San Francisco, California, United States;Micro VC;1in10 Ventures, based in the Silicon Valley California.;;;;;1;;;;
2020 Ventures;https://www.crunchbase.com/organization/2020-ventures;10;2;San Francisco, California, United States;Venture Capital;2020 Ventures is a privately-held fund-investing company for startups operating in technology, media, retail, and finance industries.;http://2020.co;http://twitter.com/2020vc;http://www.facebook.com/1254978905;;9;;;;
37 Ventures;https://www.crunchbase.com/organization/37-ventures;5;;Los Angeles, California, United States;Venture Capital;37 Ventures is a boutique investment firm that provides startups with seed and early stage venture investments.;http://37ventures.com/;;;;4;;;;
3P Equity Partners;https://www.crunchbase.com/organization/3p-equity-partners;2;;San Jose, California, United States;Private Equity Firm;3P Equity Partners is a committed capital fund established in early 2012 with significant funding from several prominent family offices.;http://www.3pequity.com/;;;https://www.linkedin.com/company/3p-equity-partners;2;;;;
415;https://www.crunchbase.com/organization/415;1;;San Francisco, California, United States;Venture Capital;415 provides seed funding for and advises (primarily early stage) companies. 415 assists in the areas of strategy, funding.;http://415.com/;;;;1;;;;
5 Prime Ventures;https://www.crunchbase.com/organization/5-prime-ventures;4;1;San Francisco, California, United States;Venture Capital;5 Prime Ventures invests in category defining changes in the way science gets done with new tools and technologies.;http://www.5primeventures.com/;;;;3;;;;
500 Mobile Collective;https://www.crunchbase.com/organization/500-mobile-collective;7;;Mountain View, California, United States;Venture Capital;500 Mobile Collective Fund focuses on investments in mobile applications and consumer internet startups.;http://500.co;;;;7;1;;;
5AM Ventures;https://www.crunchbase.com/organization/5am-ventures;91;18;Menlo Park, California, United States;Venture Capital;5AM Ventures is a California-based venture capital firm that aims to finance seed- and early-stage life sciences companies.;http://www.5amventures.com;;;;47;29;;;
7 Capital;https://www.crunchbase.com/organization/7-capital;;;San Francisco, California, United States;Venture Capital;A Global Macro Investment Strategy That Leverages That shift in the world Technology & Economy.;http://www.7capital.com;;;;;;;;
79 Studios;https://www.crunchbase.com/organization/79-studios;1;;Los Angeles, California, United States;Venture Capital;At 79 Studios, we invest capital, expertise, and care into inspirational underrepresented entrepreneurs, starting with women.;http://www.79studios.com;https://www.twitter.com/79studiosllc;https://www.facebook.com/yolandafan;;1;;;;
79 Ventures;https://www.crunchbase.com/organization/79-ventures;;;San Francisco, California, United States;Venture Capital;Invests in Startups that Reduce the Need for Human Work;https://www.79ven.com;;;http://www.79ven.com/;;;;;
819 Capital;https://www.crunchbase.com/organization/819-capital;4;;San Francisco, California, United States;Angel Group;819 views investing as a partnership between management teams and their investors. We look to support intelligent, trustworthy and;http://www.819capital.com;;;;3;;;;
8VC;https://www.crunchbase.com/organization/8vc;17;;San Francisco, California, United States;Venture Capital;8VC aims to transform the technology infrastructure behind many industries, and is based in San Francisco, California.;http://www.8vc.com;https://twitter.com/8partners;;https://www.linkedin.com/company/10317593?trk=prof-exp-company-name;17;5;;;
A-Grade Investments;https://www.crunchbase.com/organization/a-grade-investments;29;13;Los Angeles, California, United States;Angel Group;A-Grade Investments is a venture capital fund founded by long-time friends Ashton Kutcher, Guy Oseary, and Ron Burkle.;http://www.agradeinvestments.com/;;;;29;1;;;
A.Capital Ventures;https://www.crunchbase.com/organization/capital-partners-l-p;14;2;Menlo Park, California, United States;Venture Capital;A.Capital Ventures is an early stage venture capital firm investing in consumer and enterprise technology companies.;http://www.acapitalv.com;;;;13;3;;;
Aberdare Ventures;https://www.crunchbase.com/organization/aberdare-ventures;56;9;San Francisco, California, United States;Venture Capital;Aberdare Ventures offers the healthcare industry with seed, early, and later stage venture, private equity, and grants investments.;http://www.aberdare.com;http://twitter.com/AberdareVenture;;;29;7;;;
ABRT Venture Fund;https://www.crunchbase.com/organization/abrt;16;1;San Francisco, California, United States;Venture Capital;ABRT is a venture capital firm that invests primarily in software and internet companies.;http://www.abrtfund.com;;;;11;3;;;
Abstract Ventures;https://www.crunchbase.com/organization/a-list-ventures;6;;San Francisco, California, United States;Venture Capital;Sector agnostic venture investor in Pre-seed, Seed, and Series A startup companies;http://www.abstract.vc;https://twitter.com/abstractvc;https://www.facebook.com/abstractvc;https://www.linkedin.com/company/abstract-ventures;6;;;;
AC Ventures;https://www.crunchbase.com/organization/ac-ventures;9;4;Sonoma, California, United States;Micro VC;AC Ventures is a venture firm investing in biotechnology companies.;http://www.acventures.com;;;http://www.linkedin.com/company/3346518;9;3;;;
Accanto Partners;https://www.crunchbase.com/organization/accanto-partners;2;;Belvedere Tiburon, California, United States;Micro VC;Accanto Partners is a principal investment firm that provides seed capital to companies in the United States.;;;;;2;;;;
Accel Partners;https://www.crunchbase.com/organization/accel-partners;990;203;Palo Alto, California, United States;Venture Capital;Accel is a leading early and growth-stage venture capital firm, powering a global community of entrepreneurs.;http://www.accel.com;http://twitter.com/accel;http://www.facebook.com/accel;http://www.linkedin.com/company/accel-partners;534;343;;;
Accel-KKR;https://www.crunchbase.com/organization/accel-kkr;36;10;Menlo Park, California, United States;Private Equity Firm;Accel-KKR is an American, technology-focused private equity firm specialized in growth and middle market investments.;http://www.accel-kkr.com;;;http://www.linkedin.com/company/57752;35;9;;;
Accelerator Ventures;https://www.crunchbase.com/organization/accelerator-ventures;42;9;San Francisco, California, United States;Venture Capital;Accelerator Ventures is a San Francisco-based venture capital firm that invests in early stage technology companies.;http://www.acceleratorventures.com;;;;29;1;;;
Acclaro Wealth Management;https://www.crunchbase.com/organization/acclaro-wealth-management;;;Walnut Creek, California, United States;Venture Capital;Independent Wealth Management Firm;http://www.acclarowealth.com;http://twitter.com/acclarowm;http://www.facebook.com/pages/Walnut-Creek-CA/Acclaro-Wealth-Man;;;;;;
Acero Capital;https://www.crunchbase.com/organization/acero-capital;12;1;Menlo Park, California, United States;Venture Capital;At Acero Capital they are stage agnostic and actively pursuing investments in business software (mobile, cloud, security, infrastructure).;http://www.acerovc.com;http://twitter.com/AceroCapital;http://www.facebook.com/pages/Acero-Capital/204254002981331;http://www.linkedin.com/company/2363375;7;3;;;
Acon Ventures;https://www.crunchbase.com/organization/acon-ventures;1;;San Francisco, California, United States;Private Equity Firm;Acon Ventures is an international private investment partnership.;http://aconinvestments.com;;;;1;;;;
Acorn Campus Ventures;https://www.crunchbase.com/organization/acorn-campus-ventures;10;1;Cupertino, California, United States;Venture Capital;Acorn Campus Ventures is a Chinese venture capital fund focused on the wireless, semiconductor, photonics, internet, and life science field.;http://www.acorncampus.com;;;;7;2;;;
Acorn Ventures; Inc.;https://www.crunchbase.com/organization/acorn-ventures;1;;San Francisco, California, United States;Venture Capital;Acorn Ventures manages an investment fund and portfolio with broad coverage of emerging Internet, E-Commerce, Wireless Services and;http://www.acorn-ventures.com;;;;1;;;
Acre Venture Partners;https://www.crunchbase.com/organization/acre-venture-partners;6;;Santa Monica, California, United States;Venture Capital;Acre is a venture capital fund investing in the future of food.;http://acre.vc/;;;;5;5;;;
Act One Ventures;https://www.crunchbase.com/organization/act-one-ventures;2;;Santa Monica, California, United States;Venture Capital;Act One Ventures is a network of investment mentors that help you increase your portfolio.;http://www.actoneventures.com/;;;;2;1;;;
Admiralty Partners;https://www.crunchbase.com/organization/admiralty-partners;1;1;Los Angeles, California, United States;Private Equity Firm;Admiralty Partners is a firm that invests within the aerospace, information technology, and defense industries.;http://www.admiraltypartners.com;;;;1;;;;
Adobe Ventures;https://www.crunchbase.com/organization/adobe-ventures;29;13;San Jose, California, United States;Venture Capital;Adobe Ventures is Adobe's investment arm. Adobe Ventures aims to invest approximately $100 million between 2008-2011 in companies;http://www.adobe.com/aboutadobe/adobeventures;;;;22;6;;;
Aduro Advisors;https://www.crunchbase.com/organization/aduro-advisors;;;San Francisco, California, United States;Private Equity Firm;Aduro Advisors is a financial management firm that covers a wide variety of services, from auditing to distribution and management.;http://www.aduroadvisors.com;http://twitter.com/braughm;;http://www.linkedin.com/in/braughm;;;;;
Advance Vixeid Partners;https://www.crunchbase.com/organization/advance-vixeid-partners;4;;San Francisco, California, United States;Venture Capital;"Advance Vixeid Partners (""AVP"") is an independent venture capital firm";http://www.avpgrowth.com/;https://twitter.com/Vixeid;;https://www.linkedin.com/company/6578646;4;4;;;
Advanced Technology Ventures;https://www.crunchbase.com/organization/advanced-technology-ventures;205;44;Menlo Park, California, United States;Venture Capital;Advanced Technology Ventures focuses on investing in the ICT, infrastructure, consumer technology, bio-pharmaceuticals and medical industry.;http://www.atvcapital.com;http://twitter.com/atvcapital;;;111;72;;;
Advanta Partners;https://www.crunchbase.com/organization/advanta-partners;4;;San Ramon, California, United States;Private Equity Firm;Specializing in acquisitions, recapitalizations, growth financings, and late stage investments;http://www.advanta.com/partners/;;;;4;;;;
Aedeas Group;https://www.crunchbase.com/organization/aedeas-group;1;;San Francisco, California, United States;Micro VC;The Aedeas Group is an early stage ventures firm with focus on technology based companies developing products for the global market.;http://www.aedeas.com;;;;1;;;;
Aesop Capital;https://www.crunchbase.com/organization/aesop-capital;1;;San Francisco, California, United States;Venture Capital;Aesop Capital;http://www.aesopcapital.com;;;;1;;;;
